한글단어명,영문단어명,단어 전체 명,단어 설명
10월,MM10,MM10,
11월,MM11,MM11,
12월,MM12,MM12,
1박,STAY1,STAY ONE DAY,
1분기,QTR1,FIRST QUARTER,
1월,MM1,MM1,
1차,FST,FIRST,
1학년,SY1, SCHOOL YEAR 1,
20인실,PSN20,20 PERSONS,
2박,STAY2,STAY TWO DAY,
2분기,QTR2,SECOND QUARTER,
2월,MM2,MM2,
2차,SECOND,SECOND,
2학년,SY2, SCHOOL YEAR 2,
3계열,PART3,SERIES 1,
3분기,QTR3,THIRD QUARTER,
3월,MM3,MM3,
3학년,SY3, SCHOOL YEAR 3,
4분기,QTR4,FOURTH QUARTER,
4월,MM4,MM4,
4학년,SY4, SCHOOL YEAR 4,
5계열,PART5,SERIES 5,
5월,MM5,MM5,
5학년,SY5,SCHOOL YEAR 5,
6월,MM6,MM6,
6학년,SY6,SCHOOL YEAR 6,
7계열,PART7,SERIES 7,
7월,MM7,MM7,
7인실,PSN7,7 PERSONS,
8월,MM8,MM8,
9계열,PART9,SERIES 9,
9월,MM9,MM9,
ACE,ACE,ACE,
ACL,ACL,ACCESS CONTROL LIST,
ALTSGPT,ALTSGPT,UNDEFINED,
BEAM,BEAM,BEAM,
BINARY,BIN,BINARY,
CDROM,CDROM,CDROM,
CMS,CMS,CMS(CASH MANAGEMENT SYSTEM),
CPU,CPU,CPU,
DEET,DEET,치과전문대학원입학시험,
DM,DM,DM,
DNS,DNS,DOMAIN NAME SERVER,
DVD,DVD,DIGITAL VIDEO DISK,
F,F,FAIL,학점을 구분하는 기호의 하나. 낙제를 의미
FULLTIME,FULLTIME,FULL TIME,
G2B,G2B,GOVERNMENT-TO-BUSINESS,
HDD,HDD,HARD DISK,
ID,ID,IDENTIFICATION,"인터넷에서, 이용자의 신분을 증명할 수 있는 고유의 체계. 문자나 숫자 따위로 이루어진다."
IP,IP,IP ADDRESS,컴퓨터 네트워크에서 장치들이 서로를 인식하고 통신을 하기 위해서 사용하는 특수한 번호이다.
KEP,KEP,KEP,KEP
KTS,KTS,KTS,KTS
LAN,LAN,LAN,
LEET,LEET,법학적성시험,
MIC,MIC,MICROPHONE,
NURS,NURS,NURSE,간호하다
OBJECT,OBJ,OBJECT,
OHP,OHP,OVERHEAD PROJECTOR,
OMR,OMR,OPTICAL MARK READER,
OS,OS,OPERATING SYSTEM,
OUR,WE,OUR,
PARTTIME,PARTTIME,PARTTIME,
PC,PC,PERSONAL COMPUTER,
PDF,PDF,PORTABLE DOCUMENT FORMAT,
RAM,RAM,RAM(RANDOM ACCESS MEMORY),
RFID,RFID,RFID,
RH,RH,RH,
ROTC,ROTC,ROTC,
SCREEN,SCR,SCREEN,
SET,SET,SET,
SMS,SMS,SHORT MESSAGE SERVICE,
SNICKNAME,NKNM,SNICK NAME,
TEPS,TEPS,TEST OF ENGLISH PROFICIENCY DEVELOPED BY SEOUL NATIONAL UNIVERSITY,
URL,URL,UNIFORM RESOURCE LOCATOR,"문화어: 파일식별자, 유일자원지시기은 네트워크 상에서 자원이 어디 있는지를 알려주기 위한 규약이다."
USR,USER,USER,
VMI,VMI,VMI,VMI
VTR,VTR,VTR,
WTO,WTO,WTO,
XML,XML,EXTENSIBLE MARKUP LANGUAGE,
YMCNT,YMCNT,YMCNT,
id,ID,,
가,TMP,TEMPORARY,
가감,ADDSUB,ADDITION AND SUBTRACTION,
가격,PRC,THE PRICE,
가계,HOUS_ECO,"HOUSEHOLD ECONOMY,",
가능,POSB,POSSIBILITY,"해낼 수 있음, 일어나거나 이루어질 수 있음"
가능성,POSB,POSSIBILITY,
가동,OPR,OPERATION,"움직여 일을 하게 되다, 기계 따위를 움직여 일을 하게 함"
가로,HOR,HORZONTAL,
가맹점,MEMCTR,MEMBER CENTER,
가산,ADD,ADDITION,
가상,CYBER,CYBER,
가상계좌,VIRTL_ACCNT,VIRTUAL ACCOUNT,
가액,AMT,AMOUNT,돈의 액수.
가옥,HOUS,HOUSE,
가입,JOIN,JOIN,
가정,HOME,HOME,
가족,FM,FAMILY,
가중,WGT,WEIGHT,
가중치,WGT,WEIGHT,
가진급,CONFRMT,"CONDITIONAL PASS, CONDITIONAL PROMOTION",
가치,VAL,VALUE,
각,EA,EACH,
간격,GAP,GAP,
간부,EXECT,EXECUTIVE,
간이,SIMP,SIMPLICITY,
간접,INDIR,INDIRECTNESS ,
간접비,INDIRCST,"INDIRECT COST, OVER HEAD FEE",
간지,SSHT,SHEET,
간행물,MGZ,MAGAZINE,
간호,NURS,NURSE,
간호사,NURSE,NURSE,
감가상각,DEPR,DEPRECIATION,
감독,SPR,SUPERINTENDENCE ,
감독관,JDG,JUDGE,
감리,INSP,INSPECTION,
감면,REDC,REDUCE,"세금이나 형벌 따위를 일정하게 줄이거나 면제함, 일정하게 줄이거나 면제하다"
감사,GRAT,GRATITUDE,자기에게 도움이 되거나 흐뭇하여 그에 보답하고자 하는 마음
감산,SUBTRA,SUBTRACTION,빼어 셈함. 
감소,REDC,REDUCE,
감액,REDC,REDUCE,
감점,DMRTMARK,DEMERIT MARK,
감정,APPR,APPRAISE,
갑근세,INCOME_TAX,INCOME TAX,
값,VAL,VALUE,사물이 지니고 있는 쓸모.
강당,HAL,HALL,
강도,STRNG,STRENGTH,[强度]강한 정도
강사,LECTURER,LECTURER,
강사료,LT_AMT,LECTURE FEE,
강의,LT,LECTURE,학문이나 기술의 일정한 내용을 체계적으로 설명하여 가르침.
강의일람,LTPN,LECTURE PLAN,
강좌,LT,LECTURE,
개강,OPOSH,OPENING OF SCHOOL,
개발,DEV,DEVELOP,새로운 것을 연구하여 만들어 냄
개별,INDI,INDIVIDUAL,주로 일부 명사 앞에서 관형어로 쓰여 여럿 중에 하나하나 따로 나뉘어 있음을 나타내는 말
개선,IMPV,IMPROVEMENT,
개설,OPEN,OPEN," 제도, 강의등의 일을 새로 마련하고 그에 관한 일을 시작함."
개수,CNT,COUNT,일이나 사건 따위의 가짓수
개시,OPEN,OPEN,
개요,SMRY,SUMMARY,
개월,MTH,MONTH,
개월수,MMCNT,MONTH COUNT,
개인,PERS,PERSONAL,
개정,REVSN,REVISION,
개최,HOLD,HOLD,
객관식,OBJTV,OBJECTIVE,
객체,OBJT,OBJECT,
갱신,CHG,CHANGE,
거래,TRNS,TRANSACTION,
거래선,VEND,VENDOR,
거래처,VEND,VENDOR,상품을 사고팔거나 돈을 주고받는 관계에 있는 곳
거리,DIST,DISTANCE,둘 사이가 공간적으로 떨어져 있는 정도
거절,REJT,REJECT,
거주,RESI,RESIDENT,
거치,UNREDM,UNREDEEMED,
건강,HEAL,HEALTH,
건강보험,HINS,HEALTH INSURANCE,
건명,NM,NAME,
건물,BD,BUILDING,사람이 살거나 일하거나 물건을 넣어 두기 위해 지은 집을 통틀어 이르는 말
건수,CNT,COUNT,일이나 사건 따위의 가짓수
건의,PPS,PROPOSAL,
건재,CLFY,CLASSIFICATION,
건축,BD,BUILDING,
건축물,BD,BUILDING,
건평,BDACR,BUILDING ACRE,
검사,INSP,INSPECTION,어떤 일이나 사실의 옳고 그름이나 사물의 좋고 나쁨 따위를 살피거나 조사함
검사자,TSTR,TESTER,
검사지,INSPP,INSPECTION SHEET,
검색,QRY,QUERY,
검수,INSP,INSPECTION,
검수자,INSPR,INSPECTOR,
검정,QUAL,QUALITY,
검증,VRFN,VERIFICATION,
검진,MEXAM,MEDICAL EXAMINATION,
검침,INSPECT,INSPECTION,
검침자,INSPECTR,INSPECTOR,
검토,EXAM,EXAMINATION,
게스트,GUEST,GUEST,
게시,NOTI,NOTICE,"내붙이거나 내걸어 여러 사람이 두루 보게 하다, 글, 그림, 사진 따위를 내붙이거나 내걸어 여러 사람이 두루 보게 함"
게시글,NOTIWR,NOTICE WRITING,
게시물,BODITM,BOARD ITEM,
게시판,BOARD,BOARD,"1.
여러 사람에게 알릴 내용을 내붙이거나 내걸어 두루 보게 붙이는 판(板). ‘알림판’으로 순화.
2.
인터넷상에서 여러 사람에게 알리는 글을 볼 수 있으면서, 자신의 글을 올릴 수도 있는 공간."
게이트웨이,GWAY,GATEWAY,
게재,PUBL,PUBLICATION,
게재지,PUBL_JRNL,PUBLISH JOUNAL,
견적,ESTI,ESTIMATE,
견적서,ESTISHT,ESTIMATE SHEET,
견학,VISITSTUDY,VISIT FOR STUDY,
결강,ABSN_LT,ABSENCE LECTURE,
결과,RSLT,RESULT,어떤 원인으로 말미암아 이루어진 일의 상황이나 상태
결근,ABSN,ABSENCE,
결론,CNCLSN,CONCLUSION,
결산,FNCL,FINANCIAL STATEMENT,
결석,ABSN,ABSENCE,
결시,OMIT,OMISSION,
결심,FLTRL,"FINAL TRIAL, THE EXAMINATION OF A THESIS",
결의,DCD,DECISION,
결의서,DCD_DOC,DECISION DOCUMENTS,
결재,APRV,APPROVAL,
결재자,APRVR,APPROVAL PERSON,
결정,DETM,DETERMINE,어떤 일에 대한 방향이나 태도를 분명하게 정함
결제,STTL,SETTLEMENT,
결혼,MAGE,MARRIAGE,남녀가 정식으로 부부 관계를 맺음.
겸임,ADDPOST,ADDITIONAL POSITION,
겸직,PLR,PLURAL,
경감,REDC,REDUCE,
경고,WARN,WARNNING,
경과,ELAP,ELAPSE,
경기,GAME,GAME,
경도,LON,LONGITUDE,"[經度] 지구상의 위치를 나타내는 좌표의 한 가지. 그리니치 자오선의 자오면과 다른 자오선의 자오면이 이루는 각도로 나타냄
"
경력,CARR,CAREER,
경로,PATH,PATH,"[經路]일이나 사건이 진행되어 왔거나 진행되어 가는 과정,"
경로,RSPT,RESPECT FOR THE AGED,
경로자,ELDR,ELDER PERSON,
경리,PAYMST,PAY MASTER,
경비,EXPS,EXPENSES,어떤 일을 하는 데 쓰이는 비용
경사,SLANT,SLANT,
경상,CURR,CURRENT,
경영,MNGMT,MANAGEMENT,
경영학,BUS_ADM,BUSINESS ADMINISTRATION,
경위,PATH,PATH,
경유,VIA,VIA,
경쟁,CMPT,COMPETE,
경제,ECNMY,ECONOMY,
경주,RACE,RACE,"사람, 자동차, 동물 등이 일정한 거리를 달려 그 빠르기를 겨룸,"
경찰,POLC,POLICE,
경험,EXPRC,EXPERIENCE,
계,TT,TOTAL,
계급,GRAD,GRAD,
계단,STAIR,STAIRS,
계량기,METER,METER,
계산,CAL,CALCULATION,
계산서,BILL,BILL,
계상,CAL,CALCULATION,
계속,CNTI,CONTINUITY,
계수,CAL,CALCULATION,"계산해 내다, 계산해 냄"
계약,CNTR,CONTRACT,
계약직,CONWORKING,CONTRACT WORKING,
계열,PART,PARTITION,
계절,SESN,SEASON,
계정,ACCT,ACCOUNT,
계좌,BACCT,BANK ACCTOUNT,은행 따위에서 고객의 저축이나 대출 상황을 기록한 것
계통,TYPE,TYPE,
계획,PLAN,PLAN,"장차 벌일 일에 대해 구체적인 절차나 방법, 규모 따위를 미리 헤아려 구상함,"
계획서,PDOC,PLANNING DOCUMENT,
고,HSCH,HIGH SCHOOL,
고1,HS1,HIGH SCHOOL 1ST GRADD,
고2,HS2,HIGH SCHOOL 2ND GRADE,
고3,HS3,HIGH SCHOOL 3RD GRADE,
고가,HIPC,A HIGH PRICE,
고객,CUS,CUSTOMER,"영업을 하는 사람에게 대상자로 찾아오는 손(사람)
[법률정의] (약관의 규제에 관한 법률) 계약의 일방 당사자로서 사업자로부터 약관을 계약의 내용으로 할 것을 제안받은 자"
고객사,CUSCOM,CUSTOMER COMPANY,고객사
고과,EVAL,EVALUATION,
고교,HSCH,HIGH SCHOOL,
