한글단어명,영문단어명,단어 전체 명
10월,MM10,MM10
11월,MM11,MM11
12월,MM12,MM12
1박,STAY1,STAY ONE DAY
1분기,QTR1,FIRST QUARTER
1월,MM1,MM1
1차,FST,FIRST
1학년,SY1, SCHOOL YEAR 1
20인실,PSN20,20 PERSONS
2박,STAY2,STAY TWO DAY
2분기,QTR2,SECOND QUARTER
2월,MM2,MM2
2차,SECOND,SECOND
2학년,SY2, SCHOOL YEAR 2
3계열,PART3,SERIES 1
3분기,QTR3,THIRD QUARTER
3월,MM3,MM3
3학년,SY3, SCHOOL YEAR 3
4분기,QTR4,FOURTH QUARTER
4월,MM4,MM4
4학년,SY4, SCHOOL YEAR 4
5계열,PART5,SERIES 5
5월,MM5,MM5
5학년,SY5,SCHOOL YEAR 5
6월,MM6,MM6
6학년,SY6,SCHOOL YEAR 6
7계열,PART7,SERIES 7
7월,MM7,MM7
7인실,PSN7,7 PERSONS
8월,MM8,MM8
9계열,PART9,SERIES 9
9월,MM9,MM9
ACE,ACE,ACE
ACL,ACL,ACCESS CONTROL LIST
ALTSGPT,ALTSGPT,UNDEFINED
BEAM,BEAM,BEAM
BINARY,BIN,BINARY
CDROM,CDROM,CDROM
CMS,CMS,CMS(CASH MANAGEMENT SYSTEM)
CPU,CPU,CPU
DEET,DEET,치과전문대학원입학시험
DM,DM,DM
DNS,DNS,DOMAIN NAME SERVER
DVD,DVD,DIGITAL VIDEO DISK
F,F,FAIL
FULLTIME,FULLTIME,FULL TIME
G2B,G2B,GOVERNMENT-TO-BUSINESS
HDD,HDD,HARD DISK
ID,ID,IDENTIFICATION
IP,IP,IP ADDRESS
KEP,KEP,KEP
KTS,KTS,KTS
LAN,LAN,LAN
LEET,LEET,법학적성시험
MIC,MIC,MICROPHONE
NURS,NURS,NURSE
OBJECT,OBJ,OBJECT
OHP,OHP,OVERHEAD PROJECTOR
OMR,OMR,OPTICAL MARK READER
OS,OS,OPERATING SYSTEM
OUR,WE,OUR
PARTTIME,PARTTIME,PARTTIME
PC,PC,PERSONAL COMPUTER
PDF,PDF,PORTABLE DOCUMENT FORMAT
RAM,RAM,RAM(RANDOM ACCESS MEMORY)
RFID,RFID,RFID
RH,RH,RH
ROTC,ROTC,ROTC
SCREEN,SCR,SCREEN
SET,SET,SET
SMS,SMS,SHORT MESSAGE SERVICE
SNICKNAME,NKNM,SNICK NAME
TEPS,TEPS,TEST OF ENGLISH PROFICIENCY DEVELOPED BY SEOUL NATIONAL UNIVERSITY
URL,URL,UNIFORM RESOURCE LOCATOR
USR,USER,USER
VMI,VMI,VMI
VTR,VTR,VTR
WTO,WTO,WTO
XML,XML,EXTENSIBLE MARKUP LANGUAGE
YMCNT,YMCNT,YMCNT
가,TMP,TEMPORARY
가감,ADDSUB,ADDITION AND SUBTRACTION
가격,PRC,THE PRICE
가계,HOUS_ECO,"HOUSEHOLD ECONOMY,"
가능,POSB,POSSIBILITY
가동,OPR,OPERATION
가로,HOR,HORZONTAL
가맹점,MEMCTR,MEMBER CENTER
가산,ADD,ADDITION
가상,CYBER,CYBER
가상계좌,VIRTL_ACCNT,VIRTUAL ACCOUNT
가액,AMT,AMOUNT
가옥,HOUS,HOUSE
가입,JOIN,JOIN
가정,HOME,HOME
가족,FM,FAMILY
가중,WGT,WEIGHT
가진급,CONFRMT,"CONDITIONAL PASS, CONDITIONAL PROMOTION"
가치,VAL,VALUE
각,EA,EACH
간격,GAP,GAP
간부,EXECT,EXECUTIVE
간이,SIMP,SIMPLICITY
간접,INDIR,INDIRECTNESS 
간접비,INDIRCST,"INDIRECT COST, OVER HEAD FEE"
간지,SSHT,SHEET
간행물,MGZ,MAGAZINE
간호사,NURSE,NURSE
감가상각,DEPR,DEPRECIATION
감독,SPR,SUPERINTENDENCE 
감독관,JDG,JUDGE
감리,INSP,INSPECTION
감면,REDC,REDUCE
감사,GRAT,GRATITUDE
감산,SUBTRA,SUBTRACTION
감점,DMRTMARK,DEMERIT MARK
감정,APPR,APPRAISE
갑근세,INCOME_TAX,INCOME TAX
강당,HAL,HALL
강도,STRNG,STRENGTH
강사,LECTURER,LECTURER
강사료,LT_AMT,LECTURE FEE
강의,LT,LECTURE
강의일람,LTPN,LECTURE PLAN
개강,OPOSH,OPENING OF SCHOOL
개발,DEV,DEVELOP
개별,INDI,INDIVIDUAL
개선,IMPV,IMPROVEMENT
개설,OPEN,OPEN
개수,CNT,COUNT
개요,SMRY,SUMMARY
개월,MTH,MONTH
개월수,MMCNT,MONTH COUNT
개인,PERS,PERSONAL
개정,REVSN,REVISION
개최,HOLD,HOLD
객관식,OBJTV,OBJECTIVE
객체,OBJT,OBJECT
갱신,CHG,CHANGE
거래,TRNS,TRANSACTION
거래선,VEND,VENDOR
거리,DIST,DISTANCE
거절,REJT,REJECT
거주,RESI,RESIDENT
거치,UNREDM,UNREDEEMED
건강,HEAL,HEALTH
건강보험,HINS,HEALTH INSURANCE
건명,NM,NAME
건물,BD,BUILDING
건의,PPS,PROPOSAL
건재,CLFY,CLASSIFICATION
건평,BDACR,BUILDING ACRE
검사자,TSTR,TESTER
검사지,INSPP,INSPECTION SHEET
검색,QRY,QUERY
검수자,INSPR,INSPECTOR
검정,QUAL,QUALITY
검증,VRFN,VERIFICATION
검진,MEXAM,MEDICAL EXAMINATION
검침,INSPECT,INSPECTION
검침자,INSPECTR,INSPECTOR
검토,EXAM,EXAMINATION
게스트,GUEST,GUEST
게시,NOTI,NOTICE
게시글,NOTIWR,NOTICE WRITING
게시물,BODITM,BOARD ITEM
게시판,BOARD,BOARD
게이트웨이,GWAY,GATEWAY
게재,PUBL,PUBLICATION
게재지,PUBL_JRNL,PUBLISH JOUNAL
견적,ESTI,ESTIMATE
견적서,ESTISHT,ESTIMATE SHEET
견학,VISITSTUDY,VISIT FOR STUDY
결강,ABSN_LT,ABSENCE LECTURE
결과,RSLT,RESULT
결근,ABSN,ABSENCE
결론,CNCLSN,CONCLUSION
결산,FNCL,FINANCIAL STATEMENT
결시,OMIT,OMISSION
결심,FLTRL,"FINAL TRIAL, THE EXAMINATION OF A THESIS"
결의,DCD,DECISION
결의서,DCD_DOC,DECISION DOCUMENTS
결재,APRV,APPROVAL
결재자,APRVR,APPROVAL PERSON
결정,DETM,DETERMINE
결제,STTL,SETTLEMENT
결혼,MAGE,MARRIAGE
겸임,ADDPOST,ADDITIONAL POSITION
겸직,PLR,PLURAL
경고,WARN,WARNNING
경과,ELAP,ELAPSE
경기,GAME,GAME
경도,LON,LONGITUDE
경력,CARR,CAREER
경로,PATH,PATH
경로자,ELDR,ELDER PERSON
경리,PAYMST,PAY MASTER
경비,EXPS,EXPENSES
경사,SLANT,SLANT
경상,CURR,CURRENT
경영,MNGMT,MANAGEMENT
경영학,BUS_ADM,BUSINESS ADMINISTRATION
경유,VIA,VIA
경쟁,CMPT,COMPETE
경제,ECNMY,ECONOMY
경주,RACE,RACE
경찰,POLC,POLICE
경험,EXPRC,EXPERIENCE
계,TT,TOTAL
계급,GRAD,GRAD
계단,STAIR,STAIRS
계량기,METER,METER
계산,CAL,CALCULATION
계산서,BILL,BILL
계속,CNTI,CONTINUITY
계약,CNTR,CONTRACT
계약직,CONWORKING,CONTRACT WORKING
계열,PART,PARTITION
계절,SESN,SEASON
계정,ACCT,ACCOUNT
계좌,BACCT,BANK ACCTOUNT
계통,TYPE,TYPE
계획,PLAN,PLAN
계획서,PDOC,PLANNING DOCUMENT
고,HSCH,HIGH SCHOOL
고1,HS1,HIGH SCHOOL 1ST GRADD
고2,HS2,HIGH SCHOOL 2ND GRADE
고3,HS3,HIGH SCHOOL 3RD GRADE
고가,HIPC,A HIGH PRICE
고객,CUS,CUSTOMER
고객사,CUSCOM,CUSTOMER COMPANY
고과,EVAL,EVALUATION
고려,CNSD,CONSIDERATION
고발자,RLTR,RELATOR
고사장,PLACE,EXAMINATION PLACE
고속철도,KTX,KTX
고용,EMPL,EMPLOYMENT
고용보험,EINS,EMPLOYMENT INSURANCE
고유,UNI,UNI
고장,TROB,TROUBLE
고정,FIX,FIXED
고지서,DMPP,DEMAND PAPER
공간,SPACE,SPACE
공개,PUBC,PUBLIC
공고,ANUN,ANNOUNCEMENT
공공,PBLC,PUBLIC
공급,SPLY,SUPPLY
공급사,SUPLCOM,SUPPLIER COMPANY
공동,COOP,COOPERATION
공란,BLNK,BLANK
공모,COLL,COLLECT
공무원,PUBPERS,PUBLIC OFFICER
공문,ODOC,OFFICIAL DOCUMENT
공부,PUBBK,PUBLIC BOOK
공사,COSTRT,CONSTRUCTION
공시,ANNC,PUBLIC ANNOUNCEMENT
공식,FMLT,FOMALITY
공약,PLG,PLEDGE
공용,OFCUSE,OFFICIAL USE
공유,SHARE,SHARE
공정,PRCS,PROCESS
공제,DUC,DEDUCTION
공제회,CRUN,CREDIT UNION
공통,CMMN,COMMON
공표,PANN,PUBLIC ANNOUNCEMENT
공학,ENGR,ENGINEERING
공학인증,ABEEK,ACCREDITION BOARD FOR ENGINEERING EDUCATION OF KOREAA
공항,AIRP,AIRPORT
공휴일,HLDY,HOLYDAY
과,DEPT,DEPARTMENT
과납,OVPAID,OVER PAID
과다,EXCE,EXCESS
과락,SBJT_DISQ,SUBJECT DISQUALITY
과목,SBJT,SUBJECT
과미납,OVUNPAID,OVER/UNPAID
과세,TAX,TAX
과세표준,TXSTD,TAX STANDARD
과장,MAGNIF,MAGNIFICATION
과정,CORS,COURSE
과제,PRJT,PROJECT
과제및참고,PRPJ_N_REF,PROJECT AND REFERENCE
과태료,PNTY,PENALTY
과학,SCI,SCIENCE
관,SST,SUBSECTION
관계,REL,RELATION
관급,GVRNT_SPLY,GOVERNMENT SUPPLY
관납,PYGO,PAYMENT TO GOVERNMENT
관련,CONC,CONCERN
관리,MNG,MANAGEMENT
관리자,MNGR,MANAGER
관보,GAZETTE,GAZETTE
관생,LIVSTD,LIVING STUDENT
관세,CSTMS,CUSTOMS
관세감면,TXRD,TAX REDUCTION
관심,INTEREST,INTEREST
관장,MNGT,MANAGEMENT
관적,RSDREG,RESIDENCE REGISTER
관직,PUBOFC,PUBLIC OFFICE
관찰,OBSV,OBSERVATION
광,LRG,LARGE
광고,AD,ADVERTISEMENT
교과,SUBMATT,SUBJECT MATTER
교과과정,CURI,CURICULAM
교과서,TXBOOK,TEXT BOOK
교관,INSTRT,INSTRUCTOR
교구,PARI,PARISH
교내,INCAMP,IN CAMPUS
교내외,SHIO,SCHOOL INSIDE/OUTSIDE
교류,INTCH,INTERCHANGE
교복,SCHUNF,STUDENT UNIFORM
교부,DELI,DELIVERY
교비,SHAMT,SCHOOL AMOUNT
교사,TEACHER,TEACHER
교수,PROF,PROFESSOR
교시,LTTM,LECTURE TIME
교신,CRSP,CORRESPONDENCE
교양,CULT,CULTURE
교외,OUTCAMP,OUTSIDE  THE CAMPUS(SCHOOL)
교우,FRIEND,
교원,SPRF,SCHOOL PROFESSOR
교육,EDU,EDUCATION DEPARTMENT
교육부,MOE,MINISTRY OF EDUCATION & HUMAN RESOURCES DEVELOPMENT 
교육비,EDAMT,EDUCATION AMOUNT
교육원,EDUCTR,EDUCATIONAL CENTER
교장,SCHM,SCHOOL MASTER
교정,PFRD,PROOFREADE
교정자,PFRDR,PROOFREADER
교지,SCHMAGNE,SCHOOL MAGAZINE
교직,TCHR,TEACHER TRAINING COURSE
교직원,STAFF,STAFF
교직원공제회,KTCU,THE KOREAN TEACHERS' CREDIT UNION
교차,CROSS,CROSS
교체,SUBST,SUBSTITUTE 
교통,TRAF,TRAFFIC
